job_id,arrival_time,runtime,cpu_demand,mem_demand,priority,deadline_time,scenario_id
0,0,8.2,0.42,0.36,2,18.0,scenario_000
1,2,4.1,0.21,0.19,1,13.2,scenario_000
2,4,11.4,0.55,0.48,0,20.5,scenario_000
3,8,3.5,0.18,0.22,2,15.0,scenario_000
4,12,6.7,0.33,0.29,1,22.0,scenario_000
5,16,14.5,0.62,0.57,0,27.0,scenario_000
6,21,5.0,0.26,0.24,2,29.0,scenario_000
7,27,7.2,0.38,0.35,1,38.0,scenario_000
8,33,12.1,0.59,0.53,0,44.0,scenario_000
9,40,2.8,0.16,0.15,2,46.0,scenario_000
10,44,6.0,0.31,0.34,1,57.0,scenario_000
11,52,9.7,0.47,0.41,0,64.0,scenario_000
