job_id,arrival_time,runtime,cpu_demand,mem_demand,priority,deadline_time,scenario_id,job_class
0,0,2.489623,0.219385,0.276353,0,8.518472,scenario_006,medium
1,0,5.140723,0.488713,0.33468,0,14.129985,scenario_006,medium
2,1,3.550916,0.2107,0.290589,0,10.099305,scenario_006,short
3,1,2.737492,0.263991,0.3743,0,14.369297,scenario_006,short
4,1,3.649189,0.212188,0.295207,1,9.124048,scenario_006,short
5,1,4.984238,0.616042,0.630216,2,6.208908,scenario_006,medium
6,1,5.037253,0.411351,0.391079,1,8.607032,scenario_006,short
7,2,3.522848,0.136708,0.422067,0,10.358482,scenario_006,short
8,2,4.516452,0.437393,0.8079,2,6.262455,scenario_006,short
9,2,8.603074,0.643791,0.6151,0,41.787058,scenario_006,medium
10,2,2.266139,0.084757,0.05,1,4.278056,scenario_006,short
11,3,6.895914,0.594583,0.39464,0,21.176659,scenario_006,medium
12,3,2.308532,0.405676,0.411387,1,7.38003,scenario_006,short
13,3,6.638767,0.649324,0.463445,1,10.290508,scenario_006,medium
14,4,6.495396,0.624317,0.736833,1,16.107374,scenario_006,medium
15,4,2.514321,0.356991,0.566606,0,16.942513,scenario_006,short
16,4,3.086433,0.165762,0.354499,1,11.466614,scenario_006,medium
17,4,5.970552,0.363487,0.401694,1,18.40876,scenario_006,medium
18,4,4.991989,0.311814,0.69107,1,7.781722,scenario_006,short
19,5,2.374941,0.175189,0.264765,0,16.850269,scenario_006,short
20,5,3.828887,0.342851,0.382613,1,14.876483,scenario_006,short
21,5,3.271817,0.369987,0.250125,1,11.500204,scenario_006,short
22,5,12.361263,0.559153,0.486653,0,33.723584,scenario_006,medium
23,6,4.583843,0.089964,0.24974,2,9.22619,scenario_006,short
24,6,6.197228,0.511188,0.53093,1,11.697633,scenario_006,medium
25,6,3.036967,0.147105,0.436638,2,8.073485,scenario_006,short
26,7,4.46199,0.229072,0.730615,1,19.44948,scenario_006,short
27,8,2.713909,0.436617,0.448766,1,12.086098,scenario_006,short
28,8,13.822884,0.710773,0.69251,1,44.783443,scenario_006,medium
29,8,3.922659,0.099331,0.322782,0,18.968249,scenario_006,short
30,8,5.972769,0.260313,0.347329,2,13.188569,scenario_006,short
31,9,6.982992,0.34308,0.593452,0,28.494637,scenario_006,medium
32,9,3.367137,0.189331,0.374887,0,24.255899,scenario_006,short
33,9,3.634671,0.070612,0.05,1,12.463554,scenario_006,short
34,9,4.100353,0.225381,0.284722,1,19.033596,scenario_006,short
35,9,39.116367,0.850942,0.7446,0,138.147721,scenario_006,long
36,9,6.440744,0.735824,0.708545,1,15.039462,scenario_006,medium
37,9,5.268715,0.545461,0.537739,1,16.219219,scenario_006,medium
38,9,2.761859,0.435133,0.437722,0,21.944231,scenario_006,short
39,9,2.653704,0.311497,0.270494,2,12.360616,scenario_006,short
40,9,8.753564,0.210653,0.213104,0,50.875721,scenario_006,medium
41,10,4.050256,0.283327,0.140349,0,25.267569,scenario_006,medium
42,10,12.382425,0.733035,0.82033,2,24.166594,scenario_006,long
43,10,3.290399,0.229339,0.344278,1,15.631835,scenario_006,short
44,10,3.895724,0.698508,0.810512,1,15.393664,scenario_006,short
45,10,2.874486,0.137038,0.17814,1,16.915551,scenario_006,short
46,11,3.358669,0.441009,0.438813,0,22.291694,scenario_006,short
47,12,4.490409,0.40257,0.429015,0,26.666667,scenario_006,short
48,12,3.477341,0.28689,0.435079,0,23.206729,scenario_006,short
49,12,4.493393,0.16773,0.20749,1,16.014655,scenario_006,medium
50,12,4.090281,0.335118,0.386264,0,19.919963,scenario_006,short
51,13,1.970113,0.407441,0.705509,0,17.612667,scenario_006,short
52,13,3.49144,0.677289,0.588469,2,16.913442,scenario_006,short
53,13,9.598769,0.650309,0.625724,1,26.526846,scenario_006,medium
54,13,3.256638,0.163828,0.268498,0,22.557152,scenario_006,short
